b_big_digits,c_big_digits,time_b,time_c,executions
16,16,20258,19908,65536
16,32,61695,61201,131072
16,48,23991,24133,32768
16,64,16260,16246,16384
16,80,10860,10423,8192
16,96,12333,12578,8192
16,112,119223,120173,65536
16,128,33917,34119,16384
16,144,19064,19127,8192
16,160,21243,21175,8192
16,176,11716,11624,4096
16,192,12740,12807,4096
16,208,55134,54923,16384
16,224,14852,14818,4096
16,240,31835,31724,8192
16,256,34074,33843,8192
16,272,18120,17944,4096
16,288,19060,19027,4096
16,304,20131,20058,4096
16,320,10569,10654,2048
16,336,22198,22227,4096
16,352,23242,23332,4096
16,368,12153,12204,2048
16,384,50751,50823,8192
16,400,53036,53808,8192
16,416,232491,228336,32768
16,432,232560,230661,32768
16,448,59663,59188,8192
16,464,15403,15317,2048
16,480,31695,31763,4096
16,496,65604,65503,8192
16,512,67673,67597,8192
16,528,34882,34857,4096
16,544,18190,17962,2048
16,560,37065,36964,4096
16,576,19057,19017,2048
16,592,19550,19537,2048
16,608,20079,20051,2048
16,624,10337,10285,1024
16,640,10617,10548,1024
16,656,10879,10807,1024
16,672,177836,177754,16384
16,688,22724,22682,2048
16,704,191035,186909,16384
16,720,23856,23759,2048
16,736,51289,50402,4096
16,752,12516,12434,1024
16,768,26908,26529,2048
16,784,207940,206906,16384
16,800,13253,13195,1024
16,816,26982,26925,2048
16,832,13766,13750,1024
16,848,13995,14154,1024
16,864,228206,228143,16384
16,880,116847,116204,8192
16,896,59174,59125,4096
16,912,15044,15097,1024
16,928,246254,245321,16384
16,944,31252,31129,2048
16,960,31687,31655,2048
16,976,129272,128934,8192
16,992,32775,32739,2048
16,1008,66537,66493,4096
16,1024,33902,33801,2048
16,1040,34340,34290,2048
16,1056,17484,17426,1024
16,1072,71200,70708,4096
16,1088,71797,71908,4096
16,1104,145827,146080,8192
16,1120,36967,36932,2048
16,1136,74944,75005,4096
16,1152,38005,38046,2048
16,1168,19255,19240,1024
16,1184,39047,39041,2048
16,1200,79540,79119,4096
16,1216,10053,10018,512
16,1232,20402,20307,1024
16,1248,10289,10344,512
16,1264,10421,10484,512
16,1280,10590,10550,512
16,1296,42739,42883,2048
16,1312,10872,10826,512
16,1328,175721,175205,8192
16,1344,88750,88615,4096
16,1360,22443,22407,1024
16,1376,11414,11338,512
16,1392,11513,11470,512
16,1408,23329,23208,1024
16,1424,47016,46938,2048
16,1440,47521,47465,2048
16,1456,192615,192051,8192
16,1472,12137,12195,512
16,1488,24591,24527,1024
16,1504,24830,24790,1024
16,1520,25077,25038,1024
16,1536,50776,50635,2048
16,1552,25594,25618,1024
16,1568,12985,12919,512
16,1584,13085,13159,512
16,1600,26431,26372,1024
16,1616,213523,213202,8192
16,1632,26914,26950,1024
16,1648,13634,13587,512
16,1664,54924,54871,2048
16,1680,27699,27728,1024
16,1696,28008,27944,1024
16,1712,226087,226162,8192
16,1728,28522,28507,1024
16,1744,57649,57474,2048
16,1760,14504,14544,512
16,1776,29425,29284,1024
16,1792,14782,14822,512
16,1808,14899,14961,512
16,1824,30074,30205,1024
16,1840,30315,30350,1024
16,1856,30608,30658,1024
16,1872,15428,15485,512
16,1888,15612,15562,512
16,1904,125545,125705,4096
16,1920,126617,126809,4096
16,1936,15964,16024,512
16,1952,32176,32203,1024
16,1968,64928,64916,2048
16,1984,16437,16368,512
16,2000,32959,32980,1024
16,2016,66505,66468,2048
16,2032,33501,33591,1024
16,2048,67613,67526,2048
32,16,30741,30714,65536
32,32,14552,14615,16384
32,48,12567,11684,8192
32,64,127576,127645,65536
32,80,10456,10079,4096
32,96,11832,12142,4096
32,112,233955,233992,65536
32,128,33507,33561,8192
32,144,75282,75550,16384
32,160,21114,20989,4096
32,176,11525,11601,2048
32,192,12582,12628,2048
32,208,13622,13687,2048
32,224,238225,235124,32768
32,240,31479,31467,4096
32,256,16850,16798,2048
32,272,17992,17833,2048
32,288,151354,151717,16384
32,304,79766,79840,8192
32,320,168128,168590,16384
32,336,176411,176355,16384
32,352,11553,11607,1024
32,368,24217,24149,2048
32,384,25212,25416,2048
32,400,210426,210066,16384
32,416,218651,218688,16384
32,432,227066,226930,16384
32,448,14702,14767,1024
32,464,243930,243721,16384
32,480,15756,15828,1024
32,496,32561,32591,2048
32,512,16830,16959,1024
32,528,17377,17343,1024
32,544,143062,143077,8192
32,560,147087,147731,8192
32,576,18977,18923,1024
32,592,155689,155990,8192
32,608,79899,79960,4096
32,624,163994,163967,8192
32,640,168391,168198,8192
32,656,86145,86203,4096
32,672,177014,176717,8192
32,688,22594,22617,1024
32,704,11620,11562,512
32,720,11876,11817,512
32,736,193684,193693,8192
32,752,24741,24690,1024
32,768,12676,12632,512
32,784,12909,12873,512
32,800,13153,13294,512
32,816,26821,26804,1024
32,832,218725,218899,8192
32,848,223020,222840,8192
32,864,28421,28392,1024
32,880,28908,28953,1024
32,896,235586,235985,8192
32,912,14973,15034,512
32,928,61158,60975,2048
32,944,15509,15804,512
32,960,15824,15762,512
32,976,16051,16034,512
32,992,32587,32627,1024
32,1008,16617,16570,512
32,1024,134718,134976,4096
32,1040,34159,34239,1024
32,1056,17404,17348,512
32,1072,35256,35220,1024
32,1088,17918,17873,512
32,1104,145233,145577,4096
32,1120,147301,147415,4096
32,1136,74732,74640,2048
32,1152,37904,37846,1024
32,1168,19224,19199,512
32,1184,155837,155727,4096
32,1200,157762,157894,4096
32,1216,40022,39953,1024
32,1232,20279,20255,512
32,1248,10293,10255,256
32,1264,167273,166261,4096
32,1280,84149,84262,2048
32,1296,42577,42624,1024
32,1312,172543,172550,4096
32,1328,87275,87300,2048
32,1344,176679,176702,4096
32,1360,179328,178819,4096
32,1376,22652,22614,512
32,1392,45733,45870,1024
32,1408,11592,11626,256
32,1424,23443,23408,512
32,1440,189555,189367,4096
32,1456,23944,23921,512
32,1472,24200,24182,512
32,1488,48895,48921,1024
32,1504,197752,197799,4096
32,1520,24971,24996,512
32,1536,12694,12621,256
32,1552,204037,204155,4096
32,1568,51569,51547,1024
32,1584,52431,52057,1024
32,1600,210389,210588,4096
32,1616,106231,106430,2048
32,1632,214646,218360,4096
32,1648,13590,13540,256
32,1664,13671,13731,256
32,1680,221277,221345,4096
32,1696,13929,13985,256
32,1712,225508,225086,4096
32,1728,14204,14270,256
32,1744,229990,229304,4096
32,1760,14454,14501,256
32,1776,29211,29178,512
32,1792,29431,29581,512
32,1808,59413,59531,1024
32,1824,29964,29993,512
32,1840,15126,15165,256
32,1856,30553,30496,512
32,1872,30799,30749,512
32,1888,248346,248507,4096
32,1904,15638,15712,256
32,1920,63234,63097,1024
32,1936,127429,127323,2048
32,1952,64156,64198,1024
32,1968,129578,129418,2048
32,1984,130918,130623,2048
32,2000,131495,131649,2048
32,2016,132683,132646,2048
32,2032,16698,16744,256
32,2048,33650,33708,512
48,16,12831,11887,16384
48,32,12569,11685,8192
48,48,15205,15168,8192
48,64,88475,88807,32768
48,80,14634,14756,4096
48,96,17794,15030,4096
48,112,21601,18079,4096
48,128,12532,11003,2048
48,144,14331,13015,2048
48,160,16332,14628,2048
48,176,17586,16373,2048
48,192,19250,15121,2048
48,208,21059,16876,2048
48,224,23516,18183,2048
48,240,12648,10568,1024
48,256,13007,11146,1024
48,272,14433,11969,1024
48,288,14789,12483,1024
48,304,15592,13572,1024
48,320,16959,14604,1024
48,336,17348,15043,1024
48,352,18726,16305,1024
48,368,19603,17289,1024
48,384,19870,15219,1024
48,400,20599,15610,1024
48,416,21540,16671,1024
48,432,23078,17321,1024
48,448,23238,18057,1024
48,464,24795,19465,1024
48,480,12407,10166,512
48,496,12856,10506,512
48,512,13271,11275,512
48,528,13646,11416,512
48,544,14146,11958,512
48,560,15413,12773,512
48,576,15993,13199,512
48,592,15957,13294,512
48,608,15869,13638,512
48,624,16191,14005,512
48,640,16677,14400,512
48,656,17138,14899,512
48,672,18079,15547,512
48,688,17885,16018,512
48,704,18933,16375,512
48,720,19389,17410,512
48,736,19348,17128,512
48,752,20216,17519,512
48,768,20757,14964,512
48,784,20554,15694,512
48,800,20854,15764,512
48,816,22013,16202,512
48,832,22405,16698,512
48,848,22118,16975,512
48,864,22519,17651,512
48,880,23712,17890,512
48,896,23393,18271,512
48,912,23885,19111,512
48,928,24190,19149,512
48,944,24616,19454,512
48,960,12527,10292,256
48,976,13283,10279,256
48,992,12978,10474,256
48,1008,13174,10768,256
48,1024,13342,10872,256
48,1040,14315,11312,256
48,1056,13776,11438,256
48,1072,14474,11761,256
48,1088,14239,11748,256
48,1104,14436,12076,256
48,1120,15127,12417,256
48,1136,14925,12545,256
48,1152,15102,12767,256
48,1168,15310,12844,256
48,1184,15473,13194,256
48,1200,15724,13287,256
48,1216,15945,13583,256
48,1232,16639,13941,256
48,1248,16361,13914,256
48,1264,16572,14181,256
48,1280,16781,14352,256
48,1296,17536,14819,256
48,1312,17758,14963,256
48,1328,17453,14937,256
48,1344,17594,15196,256
48,1360,17801,15424,256
48,1376,18629,15801,256
48,1392,18943,16118,256
48,1408,19054,16319,256
48,1424,19294,16510,256
48,1440,18802,16963,256
48,1456,19674,17654,256
48,1472,19915,17198,256
48,1488,20111,17395,256
48,1504,19700,17462,256
48,1520,19867,17984,256
48,1536,20152,14792,256
48,1552,20989,15086,256
48,1568,20536,15595,256
48,1584,21478,15643,256
48,1600,20972,16000,256
48,1616,21876,16078,256
48,1632,21355,16103,256
48,1648,22317,16523,256
48,1664,21893,16663,256
48,1680,22024,16882,256
48,1696,22231,17141,256
48,1712,22443,17186,256
48,1728,23400,17448,256
48,1744,23604,17651,256
48,1760,23818,17903,256
48,1776,24051,18117,256
48,1792,24238,18195,256
48,1808,24498,18690,256
48,1824,24696,18935,256
48,1840,24902,19082,256
