b_big_digits,c_big_digits,time_b,time_c,executions,performance_ratio
432,688,65293,65438,512,0.9977841621076439
16,16,18342,18091,65536,1.0138743021391852
32,1616,26667,26584,512,1.0031221787541378
176,160,75490,75822,4096,0.9956213236263881
32,96,12052,11854,4096,1.0167032225409145
432,688,32337,32391,256,0.9983328702417338
16,16,18651,18147,65536,1.0277731856505208
32,1616,13280,13320,256,0.996996996996997
176,160,37574,37502,2048,1.001919897605461
32,96,12047,11851,4096,1.0165386887182517
432,688,65116,65266,512,0.9977017129899182
16,16,20284,19813,65536,1.023772270731338
32,1616,13266,13303,256,0.9972186724798917
176,160,2372413,2389141,131072,0.9929983203168
32,96,12172,11966,4096,1.0172154437573124
